,Grandes Regiões e Unidades da Federação,Número mensal médio de leitos de internação pelo SUS (total)_2010,Número mensal médio de leitos de internação pelo SUS (total)_2011.0,Número mensal médio de leitos de internação pelo SUS (total)_2012.0,Número mensal médio de leitos de internação pelo SUS (total)_2013.0,Número mensal médio de leitos de internação pelo SUS (total)_2014.0,Número mensal médio de leitos de internação pelo SUS (total)_2015.0,Número mensal médio de leitos de internação pelo SUS (total)_2016.0,Número mensal médio de leitos de internação pelo SUS (total)_2017.0,Número mensal médio de leitos de internação pelo SUS (total)_2018.0,Número mensal médio de leitos de internação pelo SUS (total)_2019.0,Número mensal médio de leitos de internação pelo SUS (total)_2020.0,Número mensal médio de leitos de internação pelo SUS (total)_2021.0,Número mensal médio de leitos de internação pelo SUS (total)_2022.0,Número mensal médio de leitos de internação pelo SUS (total)_2023.0,Número mensal médio de leitos de internação pelo SUS por 10.000 mil habitantes_2010,Número mensal médio de leitos de internação pelo SUS por 10.000 mil habitantes_2011.0,Número mensal médio de leitos de internação pelo SUS por 10.000 mil habitantes_2012.0,Número mensal médio de leitos de internação pelo SUS por 10.000 mil habitantes_2013.0,Número mensal médio de leitos de internação pelo SUS por 10.000 mil habitantes_2014.0,Número mensal médio de leitos de internação pelo SUS por 10.000 mil habitantes_2015.0,Número mensal médio de leitos de internação pelo SUS por 10.000 mil habitantes_2016.0,Número mensal médio de leitos de internação pelo SUS por 10.000 mil habitantes_2017.0,Número mensal médio de leitos de internação pelo SUS por 10.000 mil habitantes_2018.0,Número mensal médio de leitos de internação pelo SUS por 10.000 mil habitantes_2019.0,Número mensal médio de leitos de internação pelo SUS por 10.000 mil habitantes_2020.0,Número mensal médio de leitos de internação pelo SUS por 10.000 mil habitantes_2021.0,Número mensal médio de leitos de internação pelo SUS por 10.000 mil habitantes_2022.0,Número mensal médio de leitos de internação pelo SUS por 10.000 mil habitantes_2023.0
13,Pernambuco,18018.83333333333,17582.33333333333,17373.75,17007.41666666667,17558.83333333333,17280.41666666667,17325.75,16991.58333333333,16510.16666666667,16145.58333333333,17409.0,17384.66666666667,17472.16666666667,16914.5,20.17860151818905,19.57445933659999,19.2203807557566,18.69508766279389,19.17974420356755,18.75633992600615,18.70489158433992,18.26230560311779,17.66115660545371,17.18254109728387,18.4437653208054,18.35727938600789,18.40526578845003,17.77763437067469
14,Alagoas,5426.083333333333,5379.333333333333,5303.75,5011.833333333333,5121.5,4989.25,4971.083333333333,4910.166666666667,4753.0,4639.166666666667,5297.083333333333,5350.083333333333,5340.666666666667,5299.25,17.32673399060658,17.11980906607294,16.82492591956964,15.84684749916394,16.14402557574264,15.68365555149696,15.59356936287749,15.37716354723359,14.85253089876405,14.45806988325089,16.47706058259921,16.62642719597756,16.59426483895681,16.46442078824784
15,Sergipe,2969.833333333333,3097.833333333333,3142.5,2724.5,2593.833333333333,2432.666666666667,2397.333333333333,2366.666666666667,2352.75,2299.333333333333,2551.833333333333,2423.166666666667,2356.25,2367.083333333333,14.22519962300307,14.69890921076814,14.77594865822161,12.69793183804253,11.98523297312175,11.14750572650027,10.90533706468114,10.69572529520955,10.56433840367694,10.25892711075418,11.32025976783671,10.69860515619934,10.3635705485908,10.37287273031101
16,Bahia,25296.33333333333,25149.66666666667,24796.58333333333,24857.75,24731.41666666667,23519.41666666667,23176.41666666667,23002.83333333333,23115.5,22912.33333333333,23811.75,24240.66666666667,24099.08333333333,24105.66666666667,17.82998577928884,17.66443483114976,17.34893525362134,17.32123060156658,17.16313970354,16.25341405601822,15.95394466626778,15.77839310504216,15.79720477190328,15.59378172516859,16.14514537733232,16.39182045409413,16.27069864063832,16.25597277802857
17,Minas Gerais,31973.08333333333,32032.66666666667,31808.58333333333,30966.0,29656.91666666667,29250.75,28691.16666666667,27940.33333333333,27537.83333333333,27126.08333333333,28538.25,28874.5,28783.16666666667,28669.91666666667,16.07793750631821,16.03115012383529,15.82980452149079,15.31853939512695,14.57993101622049,14.28942839501885,13.93575507382039,13.50100472724422,13.23855500010785,12.96859313061256,13.56896053058935,13.67356951978587,13.59081201015444,13.49337580943037
18,Espírito Santo,5487.166666666667,5449.5,5449.0,5736.25,5938.583333333333,5733.25,5468.75,5259.166666666667,5179.916666666667,5228.333333333333,5216.083333333333,5382.25,5506.5,5553.916666666667,15.0709570485735,14.82428347936366,14.67049407984044,15.28133642996013,15.65289963579437,14.95357499531173,14.12796089767933,13.46932506878939,13.15661697466261,13.16957551817473,13.0354275902646,13.36361318233632,13.59323194548982,13.62567225734867
19,Rio de Janeiro,32494.83333333333,31108.41666666667,29536.16666666667,27811.58333333333,26698.25,25476.0,24638.58333333333,23956.58333333333,22974.25,21702.58333333333,22201.66666666667,21252.58333333333,21205.91666666667,21120.08333333333,19.6045521245352,18.6919896431533,17.66612871885681,16.55391282419706,15.81098838597899,15.01073306301915,14.45610067172123,14.00937178967024,13.39688982580443,12.62224355793076,12.89122836151529,12.34147607210921,12.32059746746798,12.26926499859928
20,São Paulo,60955.83333333334,60287.16666666666,59392.91666666666,59301.91666666666,59035.5,58137.41666666666,56289.5,54542.16666666666,53810.08333333334,52973.5,55986.5,56225.75,55143.0,54517.66666666666,14.35171453103847,14.08347467695295,13.76037741725666,13.62626559712747,13.45593665381144,13.14792785457706,12.64077272658882,12.17212754817667,11.94129952368543,11.69234482770646,12.29845684587445,12.31618651703877,12.05654645569281,11.89029202181492
21,Paraná,20933.91666666667,20863.5,20465.25,19913.25,20065.5,19325.58333333333,19012.66666666667,19075.08333333333,19216.25,18945.91666666667,19073.91666666667,19310.75,18401.75,18045.41666666667,19.62825312039897,19.43451327738635,18.91956854850824,18.25723984034903,18.23516699507022,17.40751222797661,16.98216976381809,16.90275330987545,16.89492156659322,16.52035372744773,16.49851925849122,16.60383078748283,15.74590140648868,15.3527552617741
22,Santa Catarina,11246.58333333333,11298.25,11234.41666666667,11235.83333333333,11320.33333333333,11414.25,11289.83333333333,11105.33333333333,10974.5,11024.33333333333,10992.58333333333,11138.91666666667,11201.66666666667,11297.08333333333,17.66737315737463,17.5039254372205,17.1417290512032,16.87122352620609,16.7169291925006,16.56660736258827,16.10194224998561,15.56358649574377,15.10364462388285,14.89025633905176,14.57520521260457,14.51958779478238,14.36697394163114,14.2510170452529
23,Rio Grande do Sul,21055,21008.91666666667,20925.0,21216.5,21976.83333333333,22061.91666666667,21569.66666666667,21301.66666666667,20874.66666666667,20475.75,20656.0,20126.08333333333,20079.58333333333,19976.91666666667,19.35298259288604,19.25942868388034,19.11889182243196,19.31401012887447,19.92939853271407,19.92818407658431,19.41503291035451,19.11994002253882,18.69228450466506,18.29115340905132,18.40951291259421,17.92524185601754,17.89543478104582,17.8011021872062
24,Mato Grosso do Sul,3837.416666666667,3707.75,3736.666666666667,3718.833333333333,3784.25,3772.166666666667,3749.5,3665.583333333333,3565.416666666667,3622.666666666667,3833.916666666667,3913.833333333333,4003.0,4004.416666666667,15.40973999707125,14.71258137502867,14.63987347806043,14.38366513811619,14.44824631868954,14.21882171684561,13.96588740280308,13.49845845008348,12.983276168683,13.04512113909786,13.65906554380105,13.8203111197271,14.02407600677836,13.91384344755929
25,Mato Grosso,4837.833333333333,4837.166666666667,4975.916666666667,4999.666666666667,5092.833333333333,5137.833333333333,5125.333333333333,5286.916666666667,5279.5,5247.833333333333,5301.0,5530.75,5601.25,5702.583333333333,15.63646056080308,15.43792033665018,15.66300760174332,15.51013334226777,15.55498202805771,15.44046522847501,15.1632998440969,15.39903458638266,15.12469890977263,14.77432219330577,14.67613255529436,15.08385403754743,15.05321063046246,15.09263163039415
26,Goiás,12649.5,12536.33333333333,12121.58333333333,11599.25,11335.58333333333,11159.16666666667,11117.33333333333,10862.41666666667,10748.5,10584.08333333333,11051.5,11531.75,11711.16666666667,11977.66666666667,20.45217421672756,20.01330992336418,19.08544981746543,18.00630323457583,17.34420864572851,16.83023325740562,16.54241257437625,15.96115728596481,15.60366445494383,15.17488738402906,15.65303974765909,16.16459820178263,16.26267684304243,16.46536200220782
27,Distrito Federal,4832.166666666667,4733.333333333333,4475.833333333333,4480.416666666667,4594.75,4321.333333333333,4151.416666666667,4217.083333333333,4227.25,4326.916666666667,4355.833333333333,4543.0,4550.5,4530.25,18.27612973436103,17.70779789067704,16.5590865574994,16.39001336198393,16.62123162250134,15.46193238612896,14.70272267613931,14.79515356319807,14.70136637762993,14.92190478029742,14.91000200701691,15.46276835629377,15.41274870225367,15.26599614563294
