,Grandes Regiões e Unidades da Federação,Número mensal médio de Clínicas Especializadas_2010,Número mensal médio de Clínicas Especializadas_2011.0,Número mensal médio de Clínicas Especializadas_2012.0,Número mensal médio de Clínicas Especializadas_2013.0,Número mensal médio de Clínicas Especializadas_2014.0,Número mensal médio de Clínicas Especializadas_2015.0,Número mensal médio de Clínicas Especializadas_2016.0,Número mensal médio de Clínicas Especializadas_2017.0,Número mensal médio de Clínicas Especializadas_2018.0,Número mensal médio de Clínicas Especializadas_2019.0,Número mensal médio de Clínicas Especializadas_2020.0,Número mensal médio de Clínicas Especializadas_2021.0,Número mensal médio de Clínicas Especializadas_2022.0,Número mensal médio de Clínicas Especializadas_2023.0,Número mensal médio de Clínicas Especializadas por 10.000 mil habitantes_2010,Número mensal médio de Clínicas Especializadas por 10.000 mil habitantes_2011.0,Número mensal médio de Clínicas Especializadas por 10.000 mil habitantes_2012.0,Número mensal médio de Clínicas Especializadas por 10.000 mil habitantes_2013.0,Número mensal médio de Clínicas Especializadas por 10.000 mil habitantes_2014.0,Número mensal médio de Clínicas Especializadas por 10.000 mil habitantes_2015.0,Número mensal médio de Clínicas Especializadas por 10.000 mil habitantes_2016.0,Número mensal médio de Clínicas Especializadas por 10.000 mil habitantes_2017.0,Número mensal médio de Clínicas Especializadas por 10.000 mil habitantes_2018.0,Número mensal médio de Clínicas Especializadas por 10.000 mil habitantes_2019.0,Número mensal médio de Clínicas Especializadas por 10.000 mil habitantes_2020.0,Número mensal médio de Clínicas Especializadas por 10.000 mil habitantes_2021.0,Número mensal médio de Clínicas Especializadas por 10.000 mil habitantes_2022.0,Número mensal médio de Clínicas Especializadas por 10.000 mil habitantes_2023.0
15,Sergipe,1844.166666666667,1922.0,1979.666666666667,2039.833333333333,2093.916666666667,2133.833333333333,2185.666666666667,2229.25,2325.5,2437.5,2537.666666666667,2708.0,2819.416666666667,2937.75,8.833370774371682,9.11969769293475,9.308338274322795,9.50694242159433,9.675285899750374,9.778125227211769,9.942477076350704,10.07469533000531,10.44198021793677,10.87538482130906,11.25741461858022,11.95618244569275,12.40073147198841,12.8736096589211
16,Bahia,5986.333333333333,6465.416666666667,6859.083333333333,7227.166666666667,7599.5,7689.833333333333,7976.166666666667,8509.75,9180.5,9698.583333333334,9893.0,10337.25,10936.75,11278.91666666667,4.219435156745355,4.541131016894705,4.798959237631257,5.035991609429195,5.273910586482868,5.314164333232645,5.490552033090945,5.837114879716233,6.273982323915036,6.600706673699374,6.707777597948436,6.990168559270287,7.38403867469376,7.606085524799951
17,Minas Gerais,12175.83333333333,13200.16666666667,14111.33333333333,14897.41666666667,15847.0,16347.16666666667,17065.5,17849.75,18833.5,19843.66666666667,19800.33333333333,21261.08333333333,22778.08333333333,23764.83333333333,6.122721583644976,6.606189103612347,7.022621720162443,7.369588067362723,7.79070088138111,7.985835151056717,8.288984235994189,8.625149752333932,9.054028418885453,9.486973701922764,9.41438040147916,10.06822286184329,10.75533669106243,11.18481894954274
18,Espírito Santo,2792.25,2900.583333333333,3053.666666666667,3243.416666666667,3393.916666666667,3371.916666666667,3652.5,3978.5,4256.333333333333,4401.416666666667,3984.083333333333,4324.5,4592.333333333333,4895.166666666667,7.6691455491078,7.890461434783173,8.22147160123682,8.640443018674777,8.94567508338124,8.794699124046836,9.435863255547202,10.18939181483351,10.81078152154744,11.08666672208216,9.956556766139352,10.73732086153809,11.3365390304194,12.00953140788296
19,Rio de Janeiro,12685.75,13670.58333333333,14513.83333333333,15187.83333333333,15636.41666666667,15086.16666666667,15402.75,15923.91666666667,16483.33333333333,17018.33333333333,14016.58333333333,15365.75,16693.41666666667,17671.0,7.653476617733768,8.214188617202657,8.680992722053798,9.040048744261865,9.260052711881674,8.888931573934322,9.037195913781064,9.312015233017773,9.61186548543157,9.897879205626904,8.138622172428914,8.922963998338023,9.698843503898885,10.26559310246951
20,São Paulo,32226.41666666667,34615.83333333334,36494.0,38260.0,40045.75,41132.08333333334,42066.91666666666,43456.25,45335.66666666666,47032.91666666666,40808.75,43746.5,46713.41666666666,48836.16666666666,7.587531940202062,8.086484058325691,8.455069083131928,8.791299692327488,9.12761093332604,9.302127531325095,9.44684768725401,9.698093238542397,10.06069385581627,10.38113547187648,8.96438696487687,9.582621013817274,10.21348998323997,10.65115802631607
21,Paraná,8801.25,9165.083333333334,9422.5,9686.666666666666,10112.83333333333,10399.83333333333,10725.5,11247.58333333333,11776.0,12113.66666666667,12409.41666666667,12980.83333333333,13513.75,13916.33333333333,8.252309662194675,8.537346740960004,8.710845684676169,8.881111651129153,9.19036179644893,9.367646129815078,9.58004813292003,9.966673439553347,10.35345587032859,10.56280684596378,10.73387303927136,11.16122160699007,11.56336626309652,11.83979642889574
22,Santa Catarina,4930.333333333333,5270.666666666667,5653.666666666667,6052.166666666667,6381.833333333333,6623.083333333333,6891.583333333333,7282.5,7812.333333333333,8231.666666666666,8399.75,8906.0,9466.583333333334,9754.833333333334,7.745111222541011,8.165632406591895,8.626493481710446,9.0876620916283,9.424162063985754,9.612722790637637,9.829009301374095,10.20607083580748,10.75171591871892,11.11828017696862,11.13733471670219,11.60897893125441,12.14160000591695,12.30550328833559
23,Rio Grande do Sul,7649.5,8249.0,8835.833333333334,9220.916666666666,9665.0,9897.083333333334,10228.08333333333,10608.08333333333,11013.25,11505.91666666667,11882.0,12420.58333333333,13201.75,13926.16666666667,7.031139413169404,7.562076128627716,8.07318239718224,8.394074324111298,8.764576492761991,8.939880494878182,9.206381238769652,9.521598486226134,9.86184860377822,10.27832860148031,10.58974789056179,11.0623590569197,11.76573498557017,12.40937828624194
24,Mato Grosso do Sul,1612.916666666667,1771.5,1835.833333333333,1910.166666666667,1946.0,1967.166666666667,2011.0,2075.416666666667,2194.333333333333,1956.75,1959.666666666667,2060.916666666667,2154.166666666667,2066.416666666667,6.47691627708124,7.02942159149438,7.192605100840128,7.388122894633159,7.429817622030745,7.415046733704268,7.49043860969116,7.642692334083455,7.990548745442577,7.046201910819768,6.981689423957776,7.277394589745155,7.546889099325936,7.180021558885557
25,Mato Grosso,1737.666666666667,1838.75,1962.583333333333,2105.25,2259.583333333333,2361.75,2552.083333333333,2749.0,2906.0,3099.916666666667,3247.166666666667,3414.5,3673.916666666667,3892.583333333333,5.616348151959656,5.868409747927267,6.17774768516114,6.530977042231324,6.901419276937934,7.09764532780047,7.550339127950501,8.006925160153067,8.325101814906573,8.727252695855137,8.989973293554675,9.312266801284762,9.873553478616357,10.30223021857552
26,Goiás,3300.583333333333,3602.916666666667,3821.583333333333,4020.083333333333,4275.833333333333,4381.416666666667,4623.75,4897.916666666667,5227.666666666667,5637.75,5932.75,6340.0,6768.083333333333,7082.75,5.336503842061799,5.751784509935455,6.01708827352826,6.240648277109674,6.54231399363604,6.608044014447129,6.880065376058905,7.196963685817166,7.589036288687851,8.083101639976052,8.402983446855583,8.887077208515782,9.398478839009613,9.736457522706488
27,Distrito Federal,3386.833333333333,3564.583333333333,3455.5,3547.333333333333,3678.083333333333,3417.583333333333,3646.583333333333,2524.5,3291.5,3843.25,4202.333333333333,4920.166666666667,5391.166666666667,5648.166666666667,12.80961722939849,13.33540589390336,12.78419443666487,12.97665932842801,13.30524511892816,12.22827269915796,12.91479698868218,8.85691892191527,11.44705125837575,13.2539207396055,14.38457205299118,16.74651055272391,18.26012461164705,19.03314178317439
