Grandes Regiões,"Tabela 3.11 (AbastAgua_Geo_pes)_Pessoas_Total
(1 000 pessoas)",Tabela 3.11 (AbastAgua_Geo_pes)_Pessoas_Forma de abastecimento de água no domicílio (%)_Rede geral de distribuição,Tabela 3.11 (AbastAgua_Geo_pes)_Pessoas_Forma de abastecimento de água no domicílio (%)_Poço profundo ou artesiano,"Tabela 3.11 (AbastAgua_Geo_pes)_Pessoas_Forma de abastecimento de água no domicílio (%)_Poço raso, freático ou cacimba",Tabela 3.11 (AbastAgua_Geo_pes)_Pessoas_Forma de abastecimento de água no domicílio (%)_Fonte ou nascente,Tabela 3.11 (AbastAgua_Geo_pes)_Pessoas_Forma de abastecimento de água no domicílio (%)_Água da chuva armazenada,Tabela 3.11 (AbastAgua_Geo_pes)_Pessoas_Forma de abastecimento de água no domicílio (%)_Outra forma,"Tabela 3.13 (DestLixo_BR_pes)_Distribuição das pessoas por destino do lixo domiciliar_Total
(1 000 pessoas)",Tabela 3.13 (DestLixo_BR_pes)_Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Coletado diretamente por serviço de limpeza,Tabela 3.13 (DestLixo_BR_pes)_Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Coletado em caçamba de serviço de limpeza,Tabela 3.13 (DestLixo_BR_pes)_Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Queimado (na propriedade),Tabela 3.13 (DestLixo_BR_pes)_Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Enterrado (na propriedade),Tabela 3.13 (DestLixo_BR_pes)_Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Jogado em terreno baldio ou logradouro,Tabela 3.13 (DestLixo_BR_pes)_Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Outro destino,"Tabela 3.15 (Esgot_Geo_pes)_Pessoas_Total
(1 000 pessoas)",Tabela 3.15 (Esgot_Geo_pes)_Pessoas_Forma de esgotamento sanitário (%)_Rede geral ou rede pluvial,Tabela 3.15 (Esgot_Geo_pes)_Pessoas_Forma de esgotamento sanitário (%)_Fossa séptica ligada à rede,Tabela 3.15 (Esgot_Geo_pes)_Pessoas_Forma de esgotamento sanitário (%)_Fossa séptica não ligada à rede,Tabela 3.15 (Esgot_Geo_pes)_Pessoas_Forma de esgotamento sanitário (%)_Fossa rudimentar,Tabela 3.15 (Esgot_Geo_pes)_Pessoas_Forma de esgotamento sanitário (%)_Vala,"Tabela 3.15 (Esgot_Geo_pes)_Pessoas_Forma de esgotamento sanitário (%)_Rio, lago ou mar",Tabela 3.15 (Esgot_Geo_pes)_Pessoas_Forma de esgotamento sanitário (%)_Outra forma,Tabela 3.15 (Esgot_Geo_pes)_Pessoas_Forma de esgotamento sanitário (%)_Sem banheiro ou sanitário,"Tabela 3.17 (Sane_Geo_pes)_Pessoas_Total
(1 000 pessoas)",Tabela 3.17 (Sane_Geo_pes)_Pessoas_Proporção de pessoas com acesso simultâneo aos três serviços de saneamento básico (%),"Tabela 3.19 (DocProp_Geo_pes)_Pessoas_Total_Total
(1 000 pessoas)",Tabela 3.19 (DocProp_Geo_pes)_Pessoas_Total_Em domicílios próprios sem documentação de propriedade (%),"Tabela 3.19 (DocProp_Geo_pes)_Pessoas_Condição de ocupação do domicílio_Próprio_Total
(1 000 pessoas)",Tabela 3.19 (DocProp_Geo_pes)_Pessoas_Condição de ocupação do domicílio_Próprio_Em domicílios próprios sem documentação de propriedade (%),"Tabela 3.22 (OnusAlug_Geo_pes)_Pessoas_Total_Total
(1 000 pessoas)",Tabela 3.22 (OnusAlug_Geo_pes)_Pessoas_Total_Em domicílios com ônus excessivo com aluguel (1) (%),"Tabela 3.22 (OnusAlug_Geo_pes)_Pessoas_Condição de ocupação do domicílio_Alugado_Total
(1 000 pessoas)",Tabela 3.22 (OnusAlug_Geo_pes)_Pessoas_Condição de ocupação do domicílio_Alugado_Em domicílios com ônus excessivo com aluguel (1) (%),"Tabela 3.25 (Bens_Geo_pes)_Pessoas_Total
(1 000 pessoas)",Tabela 3.25 (Bens_Geo_pes)_Pessoas_Tipos de bens (%)_Telefone (fixo ou ao menos um celular),Tabela 3.25 (Bens_Geo_pes)_Pessoas_Tipos de bens (%)_Geladeira,Tabela 3.25 (Bens_Geo_pes)_Pessoas_Tipos de bens (%)_Máquina de lavar roupa,Tabela 3.25 (Bens_Geo_pes)_Pessoas_Tipos de bens (%)_Automóvel,Tabela 3.25 (Bens_Geo_pes)_Pessoas_Tipos de bens (%)_Motocicleta,Tabela 3.25 (Bens_Geo_pes)_Pessoas_Tipos de bens (%)_Acesso à Internet,Tabela 3.25 (Bens_Geo_pes)_Pessoas_Tipos de bens (%)_Microcomputador,Tabela 4.14 (TaxaAnalf_Geo)_Taxa de analfabetismo da população de 15 anos ou mais de idade (%),Tabela 4.9 (NivelInstru_Geo)_Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Sem instrução,Tabela 4.9 (NivelInstru_Geo)_Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino fundamental incompleto,Tabela 4.9 (NivelInstru_Geo)_Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino fundamental completo,Tabela 4.9 (NivelInstru_Geo)_Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino médio incompleto,Tabela 4.9 (NivelInstru_Geo)_Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino médio completo,Tabela 4.9 (NivelInstru_Geo)_Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino superior incompleto,Tabela 4.9 (NivelInstru_Geo)_Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino superior completo
Brasil,215602.317007801,85.26380794571152,7.948045218790791,2.836842644649721,1.985002383740566,0.6124895044450013,1.353812302657768,215602.317007801,85.51867203283365,6.4816653693326876,7.123131272303433,0.23830784200429364,0.4182284707724205,0.2199950127480429,215602.317007801,61.846599304437554,6.073792914996402,15.466948397135985,12.813577073544002,1.648150913196708,1.3981262185140992,0.24009576598738308,0.5127094121862481,215602.317007801,66.05751212830849,215602.317007801,9.04148369830654,149833.67890126805,13.010191359097837,215602.31700779404,5.11059528529159,46006.63699061243,23.94993976679592,215602.317007801,98.17895386405648,98.52209715623889,70.77795837046698,51.41429923230875,27.600789937230523,92.94362515927048,40.99944789886997,5.434384260389334,6.014094579331998,27.082114273954218,7.51151415287393,4.991114825117065,30.574908710404873,4.152083180557559,19.67417027775968
Rondônia,1840.5660002964064,51.811307197795394,24.26354827989549,21.01381468250381,2.5738148908917653,0.14360047595219905,0.1939144729613182,1840.5660002964064,78.1166123617868,3.3875729388817826,15.998259284677605,1.7984874397864068,0.39981082215280067,0.29925715271459796,1840.5660002964064,16.642874492570705,12.22950427977156,39.093533917729246,31.415773919190155,0.07772110781953083,0.5116362094808581,0,0.028956073437962613,1840.5660002964064,22.733610011877634,1840.5660002964064,10.378162203262905,1293.0489595132917,14.772598018312435,1840.566000296403,4.0821051590451,365.47287116603064,20.55797997099418,1840.5660002964064,98.43360773705186,99.01653376395903,79.80042133064931,52.725641366541765,52.58948407637596,94.75393907836472,34.39139396714492,5.105239766980089,7.940734663751534,33.524105026118086,6.7150211593030065,6.90946383557566,26.347428937902837,3.17303013027032,15.390216247078461
Acre,913.698000022862,58.38525477664295,16.145544994065727,15.001333253480963,8.002220347863364,0.2834789937326326,2.182167634214053,913.698000022862,67.82072344438147,13.76098310917549,16.155805389606417,1.0879759149621941,1.069807938565633,0.1047042033085398,913.698000022862,37.24308708108632,8.047107216359258,22.349091469025932,10.785122249442855,8.121055605392966,8.632824732586302,1.0350830848839934,3.7866285612220145,913.698000022862,37.79559184056745,913.698000022862,11.454452476164029,735.8084309108326,14.223689046172833,913.698000022853,2.7780660454039476,93.60804268709995,27.1164027871165,913.698000022862,96.45246689880027,93.08450897787678,62.24665513979134,30.66119600570978,36.05088872423803,82.28428130386834,25.790673102113967,9.441522396716417,13.096704298540859,25.761497793208537,6.980955436212357,4.5954304404185295,28.394150982789437,3.8897634097977276,17.28149763903245
Amazonas,4220.742000113752,75.11630273977309,14.392402602273814,2.0998602683372205,3.9180855894187254,0.8154364283147988,3.657912371882472,4220.742000113752,80.23624178312103,5.0939578557631915,13.566198425531116,0.12527671349842098,0.8784063260410367,0.09991889604520632,4220.742000113752,38.93487590469263,6.600318008343633,14.786404955670928,23.984423479039485,6.160000721558059,7.114553884673313,0.7212541979514442,1.6981688480705173,4220.742000113752,43.62034857671785,4220.742000113752,17.367397431541594,3192.734176487368,22.95941338048504,4220.742000113755,3.674140999620683,655.9764471699592,23.64048480451166,4220.742000113752,96.25963291108901,91.88514663245248,65.51532126886892,24.179761917654826,26.8758516225925,87.05309558584092,30.432691499826056,5.0568977024919155,6.115527876284392,24.37451376374409,5.8983793090004575,4.614624585289305,36.60794868767214,4.814618759972873,17.57438701803669
Roraima,609.9560000240684,86.0807978347422,6.5197829817004305,6.913711448316903,0.2994619258877556,0,0.18624580935266968,609.9560000240684,86.62498297596039,1.145470586626622,10.308112647671127,0.5369805045660256,0.9053335419132007,0.4791197432625754,609.9560000240684,46.29826140845013,8.941501921061151,30.599752852067198,13.479094820228923,0.6354893067904958,0.01129295434052321,0,0.0346067370616356,609.9560000240684,54.55507521175108,609.9560000240684,5.471446964838936,376.9625069330481,8.853246260933119,609.9560000240728,8.717703545528106,159.22025371968007,33.39660288060925,609.9560000240684,98.24429762395147,96.69204991583548,68.36842929065267,50.089851441711176,34.72765109339224,92.19660708715651,35.22303842244721,4.230248522202191,5.805269301555513,19.286593026382793,6.434998124679477,6.423516770074676,36.74658102445303,5.395567500034167,19.907474252820183
Pará,8902.302000253252,48.85250805214654,28.17592220053617,13.685363664883164,2.8223608645495246,0.022402386571734417,6.441442831312407,8902.302000253252,74.1809405693608,4.050954509586257,20.626281189985367,0.41577200219546184,0.6062665469565517,0.11978518191526787,8902.302000253252,12.423626435462797,8.613145113999161,36.36208049025989,34.32799585411697,4.6301344776754325,2.3167591655625794,0.3905724093170564,0.9356860536055671,8902.302000253252,18.42096812408834,8902.302000253252,16.900996815104072,6868.271926842334,21.90620571753455,8902.302000253305,2.5755912059611603,1200.6632222449127,19.096687830408182,8902.302000253252,95.72259947006445,92.20648411480994,41.11392928982485,25.562306147458585,38.83914602548463,88.2597330185109,25.583381409502174,6.86670309372851,6.3971308876305155,33.39158938604248,7.261025730576538,5.956787424903459,29.821874901993887,3.545124631090832,13.626467037762476
Amapá,899.72900302725,56.862121633577445,30.024442406226125,11.512190238883836,0,0,1.601245721312334,899.72900302725,86.09380662986001,7.872576194759451,5.015874900252942,0.034301914514436524,0.5954156512855836,0.38802470932731004,899.72900302725,21.38155199081238,4.35464032890282,36.508586112396394,25.717324510117134,5.369398235722618,6.557536176109347,0.021684726943729575,0.08927791899531218,899.72900302725,22.92512247927084,899.72900302725,13.019136738551053,737.8056326311597,15.876396709359174,899.729003027248,1.8260938585740376,103.19382852266,15.92139404391051,899.72900302725,98.35630503261713,97.39657501411196,87.06763397772471,36.790901664597506,21.478768724528553,92.1804283026928,38.29116463771646,5.8179261564883955,8.262874607659139,18.93031533266095,5.110895165869221,4.748476931706784,35.02460070618667,4.499822628265167,23.423014627651874
Tocantins,1626.9590000450057,83.72410292484493,7.760544249628735,5.324556296975117,2.8208770902364715,0,0.36991943831488727,1626.9590000450057,79.63859806196582,8.381459651366617,10.192481737758166,0.7050236559097484,0.5914483260822061,0.49098856691772935,1626.9590000450057,28.02146134513151,4.994387206434345,8.083790222415661,57.303469657709655,0.6937301657262271,0.025768921072897473,0.06310216936822619,0.8142903121414558,1626.9590000450057,32.445253929022606,1626.9590000450057,6.20038872397149,1035.8115473779665,9.739009247173447,1626.9590000450087,3.531592878440085,382.57074968301976,15.018808476167274,1626.9590000450057,98.37010945389974,98.93493355035486,58.11029784431491,48.94721688635556,48.614116911112134,91.43454842923433,33.72102816738486,7.7694848962275795,9.763765244054172,27.180996855914096,6.003446894436257,5.220411173509816,28.43920297730094,3.814985457564482,19.57719139722028
Maranhão,7192.350000195725,72.78508983877171,18.388845170647606,6.878625616801443,0.9464826940156754,0.15502636870183467,0.8459303110609655,7192.350000195725,60.69931772323159,12.622049354516834,24.60470210267818,0.31373329928014615,1.6518675223727293,0.10832999791956527,7192.350000195725,19.081064559236314,7.209056674984016,33.47648558735219,30.161019486028344,5.157814795744086,0.5332678202353286,1.0895940824107029,3.291696994008415,7192.350000195725,24.200583857798,7192.350000195725,29.605915610980535,5943.394591126452,35.827354870286754,7192.350000195744,2.2790246876208586,801.80805638432,20.443225884224923,7192.350000195725,94.75019959828927,97.950379389015,35.156955381515566,24.033220349515553,49.31589858497413,86.21414037940652,20.82328572055536,11.48555373234446,12.622505886530737,30.570089710904643,7.474338333912783,5.1266564284769585,29.21337595158368,2.7884915225194593,12.204542166072036
Piauí,3302.5190000566245,81.68589116066791,10.831931591820231,1.8251940668125262,0.4651726297216319,1.58488969713308,3.606920853844512,3302.5190000566245,73.30947877654536,1.1486725602168957,23.208545508941054,0.31345523829120964,1.1857840730853764,0.8340638429198322,3302.5190000566245,7.667928783667778,5.3384052214054325,63.22870586147343,17.084537552265576,0.9879756184694309,0.1281349401652929,0.02807334059407684,5.536238681958656,3302.5190000566245,12.044468648756535,3302.5190000566245,22.785475647176717,2682.543387493158,28.051537433081172,3302.519000056645,1.5028185514741565,373.9513272446095,13.272012848438257,3302.5190000566245,96.59040751153881,97.76476887331283,34.75095753019011,31.217538598288083,56.354927063058994,88.70200411243681,23.644642711106517,13.299972592701247,12.587373506180034,33.865545244167095,6.0574172177362975,4.831999500196867,23.914098555957736,2.8618832376735144,15.881682738088378
