Grandes Regiões,"Tabela 3.11 (AbastAgua_Geo_pes)_Pessoas_Total
(1 000 pessoas)",Tabela 3.11 (AbastAgua_Geo_pes)_Pessoas_Forma de abastecimento de água no domicílio (%)_Rede geral de distribuição,Tabela 3.11 (AbastAgua_Geo_pes)_Pessoas_Forma de abastecimento de água no domicílio (%)_Poço profundo ou artesiano,"Tabela 3.11 (AbastAgua_Geo_pes)_Pessoas_Forma de abastecimento de água no domicílio (%)_Poço raso, freático ou cacimba",Tabela 3.11 (AbastAgua_Geo_pes)_Pessoas_Forma de abastecimento de água no domicílio (%)_Fonte ou nascente,Tabela 3.11 (AbastAgua_Geo_pes)_Pessoas_Forma de abastecimento de água no domicílio (%)_Água da chuva armazenada,Tabela 3.11 (AbastAgua_Geo_pes)_Pessoas_Forma de abastecimento de água no domicílio (%)_Outra forma,"Tabela 3.13 (DestLixo_BR_pes)_Distribuição das pessoas por destino do lixo domiciliar_Total
(1 000 pessoas)",Tabela 3.13 (DestLixo_BR_pes)_Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Coletado diretamente por serviço de limpeza,Tabela 3.13 (DestLixo_BR_pes)_Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Coletado em caçamba de serviço de limpeza,Tabela 3.13 (DestLixo_BR_pes)_Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Queimado (na propriedade),Tabela 3.13 (DestLixo_BR_pes)_Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Enterrado (na propriedade),Tabela 3.13 (DestLixo_BR_pes)_Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Jogado em terreno baldio ou logradouro,Tabela 3.13 (DestLixo_BR_pes)_Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Outro destino,"Tabela 3.22 (OnusAlug_Geo_pes)_Pessoas_Total_Total
(1 000 pessoas)",Tabela 3.22 (OnusAlug_Geo_pes)_Pessoas_Total_Em domicílios com ônus excessivo com aluguel (1) (%),"Tabela 3.22 (OnusAlug_Geo_pes)_Pessoas_Condição de ocupação do domicílio_Alugado_Total
(1 000 pessoas)",Tabela 3.22 (OnusAlug_Geo_pes)_Pessoas_Condição de ocupação do domicílio_Alugado_Em domicílios com ônus excessivo com aluguel (1) (%),"Tabela 3.25 (Bens_Geo_pes)_Pessoas_Total
(1 000 pessoas)",Tabela 3.25 (Bens_Geo_pes)_Pessoas_Tipos de bens (%)_Telefone (fixo ou ao menos um celular),Tabela 3.25 (Bens_Geo_pes)_Pessoas_Tipos de bens (%)_Geladeira,Tabela 3.25 (Bens_Geo_pes)_Pessoas_Tipos de bens (%)_Máquina de lavar roupa,Tabela 3.25 (Bens_Geo_pes)_Pessoas_Tipos de bens (%)_Automóvel,Tabela 3.25 (Bens_Geo_pes)_Pessoas_Tipos de bens (%)_Motocicleta,Tabela 3.25 (Bens_Geo_pes)_Pessoas_Tipos de bens (%)_Acesso à Internet,Tabela 3.25 (Bens_Geo_pes)_Pessoas_Tipos de bens (%)_Microcomputador,Tabela 4.14 (TaxaAnalf_Geo)_Taxa de analfabetismo da população de 15 anos ou mais de idade (%),Tabela 4.9 (NivelInstru_Geo)_Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Sem instrução,Tabela 4.9 (NivelInstru_Geo)_Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino fundamental incompleto,Tabela 4.9 (NivelInstru_Geo)_Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino fundamental completo,Tabela 4.9 (NivelInstru_Geo)_Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino médio incompleto,Tabela 4.9 (NivelInstru_Geo)_Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino médio completo,Tabela 4.9 (NivelInstru_Geo)_Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino superior incompleto,Tabela 4.9 (NivelInstru_Geo)_Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino superior completo
Brasil,207853.29300009305,84.8664421382051,7.339698089776381,3.4274425551835197,2.113718976121844,0.7178151489694098,1.534883091747703,207853.29300009305,82.08356965680842,8.223074403902036,8.27734978734087,0.3727023315826799,0.7357236874584103,0.3075801329114011,207853.2930000941,5.060245036596245,37728.444266281505,27.877868136318025,207853.29300009305,96.03276434465022,98.26693557753501,65.27351839141089,51.066144710117264,25.79049410947584,80.58185428682995,44.795789855388364,6.286620480512714,6.451738648131629,32.05545669523748,8.146620960424698,4.747303054423258,27.792899777883353,4.16904867175545,16.63693219214453
Rondônia,1747.1540000010186,41.978251191875195,24.771152186309195,28.848978781186908,3.6330206740380775,0,0.7685971665910518,1747.1540000010186,63.44136107146006,14.243749235598907,19.149474370135422,1.7939987685871903,0.5212911400125418,0.8501254142062697,1747.1540000010164,3.0253487545842663,296.7361283685097,17.812964693688247,1747.1540000010186,96.90672113391953,98.72850181405191,57.93489401579849,45.623821602844785,56.6299971280332,76.93399500302205,37.381073858764104,5.793217151995977,7.689159047932366,39.03351422300224,8.05696849131203,5.764674873182189,23.635702564497777,3.4345143043697193,12.385466495702913
Acre,853.0230000003464,54.088969673886936,14.53329428482811,19.567202515012166,6.19107770489054,0.4567918494270859,5.162663971955269,853.0230000003464,66.18572814507917,10.263167736596131,19.742775515605317,1.4802251598649563,2.097031449535675,0.23107199331896047,853.0230000003518,2.3962682866173286,85.48086860706982,23.912625081665748,853.0230000003464,87.77954095528796,88.87184975576298,26.240597077794874,30.329542448448002,33.39534845083694,65.8386147654918,27.476462524597157,11.343447768923708,12.407905676923201,33.74636734934308,7.2964068228217736,4.367953008743306,22.601906764319843,4.508624692154807,15.07083568569398
Amazonas,3921.5080000017115,71.6817864719386,15.139497141171695,4.351484055656267,4.811149939585174,1.405840869926207,2.6102415217216217,3921.5080000017115,73.95128793875757,8.068926876146401,16.261465325415138,0.34923369298249557,1.1028188065025253,0.26626736019550196,3921.508000001692,4.005108473744845,506.1145148673608,31.032630875605644,3921.5080000017115,90.89180871355765,91.52396614780737,58.03011498358843,26.313575867044474,18.765406146260776,71.33333020584357,28.511601119505837,5.487635853399143,7.240631357696567,29.33976891474103,6.145401627634439,4.600905287428948,33.42787881470292,4.674077168296215,14.57133682950034
Roraima,513.4660000011013,86.94398702393566,2.478759401205275,10.054563144498195,0.1658035896141464,0.09003065023370739,0.2668561905125285,513.4660000011013,81.42626806265308,2.742447944952495,13.145888870325406,1.0068953513434007,1.5758606606635364,0.10263911006159493,513.4660000011013,5.1445593958710685,97.89101793954038,26.984665093558412,513.4660000011013,92.67391565720162,95.19705265442681,63.96642618859167,47.798702041358844,38.71341098449043,78.22359176066317,38.07647979245766,5.541143353176903,7.1988863121713775,25.416305059232872,5.676543201027546,5.26073716686222,30.258354435313407,6.244902012946568,19.944271812445944
Pará,8472.029000003506,49.54387783474435,25.210830105275317,18.369542860805943,1.9680896829338115,0.06210944121446953,4.8455500750261775,8472.029000003506,67.47283892308526,7.125252082411672,22.684395497908362,0.4883309501286266,2.108639697741895,0.12054284872438174,8472.029000003475,2.0619896039724432,868.763325336163,20.1081643447604,8472.029000003506,88.3554847579177,91.50925914041875,31.017054634618905,22.817219375082704,35.15034762576367,69.54792159232835,23.62689785152567,8.191890079291827,7.375676591030003,38.34407228282915,7.72077464376308,6.057120654207952,26.46361365194041,3.3348597933474413,10.703882382881623
Amapá,821.5450000013509,59.01295510677506,25.227068455584252,13.225479398684412,1.040181398255236,0,1.4943156407013438,821.5450000013509,84.15784345883013,9.28955684153817,5.9862316804726765,0.23918661941059527,0.3239884335484523,0.003192966200263766,821.5450000013485,2.4578335175415624,73.18071601292996,27.592253085023582,821.5450000013509,96.49522755387956,95.98184793974853,59.83472266789582,33.01696659364295,18.922267591027232,79.55695624500996,35.229493432432186,5.7252596454064575,7.35207475591731,27.370029443640394,6.582681069592043,5.076626678417129,31.49822948595956,4.35246943710432,17.767889129369077
Tocantins,1542.1500000008434,81.82480486425365,7.661853539138571,5.854129297233129,4.0180846966673895,0.3364275156656075,0.3047000870413016,1542.1500000008434,68.01631162297652,15.791919823968927,14.042243456996488,0.5689127552206471,0.8172591378499566,0.7633532029869703,1542.150000000837,3.7102438448133177,276.4840397099405,20.694693810480675,1542.1500000008434,96.65282655940518,97.63554615991431,44.361439153725414,42.31374191855938,47.424794528746936,73.87923994847567,29.1254071797189,9.0658506928879,11.980224887757231,32.07334323243031,5.96001402228205,4.480679923742346,26.635538743886492,3.6382667650225864,15.231932424878995
Maranhão,7000.726000001336,69.8324636822794,18.603030456271448,9.243402616260084,1.0893861963505913,0.23631765810670435,0.9953993907328742,7000.726000001336,49.40963254955636,17.566798145110212,27.884993731571313,0.8518438898609904,3.9601502772555652,0.3265814066460543,7000.726000001262,1.82678635633929,540.6518487975809,23.654465937210066,7000.726000001336,85.46264987143145,97.17394737116265,28.319525583178205,21.003041890077206,44.80819937773104,57.33843166912162,19.64623883003388,15.252229915530496,15.755888421377877,35.274254550445036,7.628750716647333,5.198273648515633,24.866278295991222,2.780707323627559,8.495847043395786
Piauí,3263.7540000009008,85.00380671384893,6.568689037361593,3.2517596316321815,0.6314816673105345,1.5184879257654298,3.025775024081246,3263.7540000009008,67.53268004649317,4.1472166735560485,26.81265385512411,0.29358412120298716,1.091338374228882,0.12252692939476718,3263.75400000091,1.8428106821106416,266.82347771579026,22.541047686176192,3263.7540000009008,90.44012653774597,97.65072652125585,27.86947746092555,30.089473884312433,55.714879710928834,62.88387888405684,27.531437424350486,15.465213830357463,12.099821889136575,40.978304812716246,7.700685345390804,4.939418610423596,20.051112126976435,2.6342944086670848,11.59636280668935
