,"Grandes Regiões, Unidades da Federação, Regiões Metropolitanas das Capitais e Municípios das Capitais","Pessoas_Total_Total
(1 000 pessoas)",Pessoas_Total_Em domicílios com ônus excessivo com aluguel (1) (%),"Pessoas_Condição de ocupação do domicílio_Alugado_Total
(1 000 pessoas)",Pessoas_Condição de ocupação do domicílio_Alugado_Em domicílios com ônus excessivo com aluguel (1) (%)
0,Brasil,214153.6410434851,4.695974113412442,43239.76288698695,23.257758310599883
1,Rondônia,1822.8120003035817,4.006052433400563,371.9119975303892,19.63443098888284
2,Acre,901.8340001875263,3.058237052276262,112.31255440172993,24.55666838909964
3,Amazonas,4162.566000393567,3.7909139645173315,537.61006062183,29.351998288248232
4,Roraima,597.8030002566966,7.917387151793555,135.46118449673992,34.940177225823014
5,Pará,8819.337001178172,2.33952127290595,1028.6380319540601,20.058588041886143
6,Amapá,884.4900180139176,1.8768384173430919,91.01031405554998,18.240183684585034
7,Tocantins,1610.5970004763026,3.1298829805427717,358.27123082621995,14.070290066771044
8,Maranhão,7155.763000716517,1.8122928223829273,741.6115481838583,17.486699009245907
9,Piauí,3295.812000262106,1.6789062892965099,304.0119045644301,18.201127694347548
10,Ceará,9289.534001061715,4.3685275499632885,1739.8893317400791,23.324233599026016
11,Rio Grande do Norte,3586.9720012367575,4.4866232218040984,715.3739311973508,22.496475164776804
12,Paraíba,4058.0760003611867,3.249177811176926,730.1059599577103,18.059584799453916
13,Pernambuco,9672.573001046707,4.607908057883178,1850.1698052134457,24.089857561395096
14,Alagoas,3371.39700032011,3.434325491483132,625.7360966255094,18.503766559976
15,Sergipe,2357.48400020284,4.664592479082242,507.50887513219953,21.66799966609153
16,Bahia,15017.041001784919,3.0548524283873513,2131.2030477445314,21.525327781435294
17,Minas Gerais,21515.2140021152,3.594159742166197,4323.0059740677325,17.887811507632556
18,Espírito Santo,4147.996000498903,4.9197341726310135,876.4125936707933,23.28473805484429
19,Rio de Janeiro,17555.509004146053,5.81893980859718,3616.8369262017354,28.244140471019836
20,São Paulo,46990.78500425354,6.755103192727632,11624.228379865082,27.30741271058055
21,Paraná,11662.265001120806,4.747205014055237,2688.5323375667417,20.59233661242406
22,Santa Catarina,7410.51600070237,5.238046121369403,1712.3485215999644,22.668647243936125
23,Rio Grande do Sul,11489.431001000556,3.39460884810397,1870.6134635609317,20.849910949230573
24,Mato Grosso do Sul,2796.5030003091574,4.967702333044256,649.0478080258101,21.40396178404258
25,Mato Grosso,3551.651000351532,5.127543936074331,895.817777485185,20.329186367599277
26,Goiás,7299.666000900431,5.009735246949924,1966.9895825913968,18.591554515248244
27,Distrito Federal,3130.014000274049,8.68917765099341,1035.1036481067995,26.274902758020083
